,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
0,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.237347,0.080041,6384,15.704337321635307,19.44041132926941,38.285616115231775
1,"(160.0, 0.167244656, 'CVX', 0.030136986301369864, 4.47)",0.237347,0.080041,6384,4.202541775914596,41.34445261955261,46.38750275065013
2,"(420.0, 0.643100493, 'NVDA', 0.08767123287671233, 42.52)",0.237347,0.080041,6384,81.77756149323426,14.305712938308716,112.43878673018982
3,"(29.0, 0.441411836, 'VZ', 0.0684931506849315, 4.7)",0.237347,0.080041,6384,3.675601538581815,35.56975054740906,39.98047239370724
4,"(515.0, 0.290778577, 'LLY', 0.049315068493150684, 27.22)",0.237347,0.080041,6384,36.95572494644911,46.4746208190918,90.82149075483073
5,"(845.0, 0.460118924, 'AVGO', 0.049315068493150684, 39.2)",0.237347,0.080041,6384,91.82785746465201,68.21427130699158,178.40770026457398
6,"(165.0, 0.339362075, 'TXN', 0.010958904109589041, 6.02)",0.237347,0.080041,6384,6.420816293583503,23.74837636947632,31.45335592177652
7,"(555.0, 0.195656237, 'COST', 0.0684931506849315, 14.75)",0.237347,0.080041,6384,29.003309589361812,29.397374391555786,64.20134589878995
8,"(840.0, 0.426397338, 'AVGO', 0.0684931506849315, 45.15)",0.237347,0.080041,6384,96.49028204857524,73.70144653320312,189.48978499149342
9,"(131.0, 0.240730249, 'GOOG', 0.010958904109589041, 1.9)",0.237347,0.080041,6384,3.320814327118877,96.78308415412903,100.76806134667169
10,"(103.0, 0.238777144, 'ABT', 0.049315068493150684, 4.08)",0.237347,0.080041,6384,6.074928192987249,91.31198716163635,98.60190099322105
11,"(175.0, 0.240547145, 'AAPL', 0.08767123287671233, 7.58)",0.237347,0.080041,6384,13.541365905086389,96.64907002449036,112.89870911059403
12,"(107.0, 0.263190962, 'NKE', 0.030136986301369864, 2.36)",0.237347,0.080041,6384,5.539271871264667,67.24044728279114,73.88757352830874
13,"(29.0, 0.347662773, 'BAC', 0.030136986301369864, 2.04)",0.237347,0.080041,6384,1.7650468825983192,80.02367305755615,82.14172931667413
14,"(427.5, 0.305915144, 'NFLX', 0.010958904109589041, 6.15)",0.237347,0.080041,6384,14.644990895770425,61.13526964187622,78.70925871680073
15,"(157.5, 0.310065493, 'WMT', 0.030136986301369864, 4.88)",0.237347,0.080041,6384,9.349410409128666,54.963829040527344,66.18312153148175
16,"(550.0, 0.204048487, 'COST', 0.08767123287671233, 19.98)",0.237347,0.080041,6384,35.174997492618516,49.86067461967468,92.0706716108169
17,"(43.0, 0.384771777, 'CMCSA', 0.049315068493150684, 3.82)",0.237347,0.080041,6384,4.1527679978327185,49.552469968795776,54.53579156619504
18,"(215.0, 0.514653291, 'TSLA', 0.049315068493150684, 27.3)",0.237347,0.080041,6384,28.37026464194572,86.2104983329773,120.25481590331216
19,"(122.5, 0.344733115, 'GOOGL', 0.08767123287671233, 10.65)",0.237347,0.080041,6384,15.602002417267508,27.562881469726562,46.28528437044757
